Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
Research on Gun Violence vs Other Causes of Death.,"['Oud, Lavi']","Oud, Lavi",Texas Tech University Health Sciences Center at Permian Basin,"Oud, Lavi",Texas Tech University Health Sciences Center at Permian Basin,,7,,JAMA,2017 Apr 4,
The Right to Health Care.,"['Lenchus, Joshua D']","Lenchus, Joshua D",University of Miami,"Lenchus, Joshua D",University of Miami,,7,,JAMA,2017 Apr 4,
Interventions for Anxiety and Depression in Conflict-Affected Areas.,"['Lee, Ka Yiu', 'Lam, Michael Huen Sum', 'Deng, Yazhuo']","Lee, Ka Yiu",The University of Hong Kong,"Deng, Yazhuo",University of Idaho,,0,,JAMA,2017 Apr 4,
Rate of Persistent Postconcussive Symptoms.,"['Young, Garrett R', 'Tsao, Jack W']","Young, Garrett R",University of Tennessee Health Science Center,"Tsao, Jack W",University of Tennessee Health Science Center,,22,,JAMA,2017 Apr 4,
Rates of Cortical Atrophy in Adults 80 Years and Older With Superior vs Average Episodic Memory.,"['Cook, Amanda H', 'Sridhar, Jaiashre', 'Ohm, Daniel', 'Rademaker, Alfred', 'Mesulam, M-Marsel', 'Weintraub, Sandra', 'Rogalski, Emily']","Cook, Amanda H",Massachusetts General Hospital,"Rogalski, Emily",Northwestern University,,24,,JAMA,2017 Apr 4,"['P30 AG013854/AG/NIA NIH HHS/United States', 'R01 AG045571/AG/NIA NIH HHS/United States', 'T32 NS047987/NS/NINDS NIH HHS/United States']"
Skin's Natural Bacteria May Protect Against Pathogens.,"['Hampton, Tracy']","Hampton, Tracy",,"Hampton, Tracy",,,15,,JAMA,2017 Apr 4,
Circadian Clock Boosts Stress-Response Genes During Aging.,"['Hampton, Tracy']","Hampton, Tracy",,"Hampton, Tracy",,,15,,JAMA,2017 Apr 4,
Allele-Specific Gene Expression May Influence Mental Health.,"['Hampton, Tracy']","Hampton, Tracy",,"Hampton, Tracy",,,15,,JAMA,2017 Apr 4,
Ehrlich and Von Behring.,,,,,,,,,JAMA,2017 Apr 4,
Vaccines and the Trump Administration.,"['Sharfstein, Joshua M']","Sharfstein, Joshua M",Johns Hopkins Bloomberg School of Public Health,"Sharfstein, Joshua M",Johns Hopkins Bloomberg School of Public Health,,17,,JAMA,2017 Apr 4,
Congenital Zika Syndrome in 2017.,"['Lucey, Daniel', 'Cummins, Hannah', 'Sholts, Sabrina']","Lucey, Daniel",Washington Hospital Center,"Sholts, Sabrina",Smithsonian National Museum of Natural History,,10,,JAMA,2017 Apr 4,
Test Aids Antibiotic Decisions.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Apr 4,
Detecting Bacteremia Pathogens.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Apr 4,
Biologic Medication for Psoriasis.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Apr 4,
Reevaluating Postnatal Steroids for Extremely Preterm Infants to Prevent Lung Disease.,"['Marlow, Neil']","Marlow, Neil",UCL,"Marlow, Neil",UCL,,61,,JAMA,2017 Apr 4,"['G1002276/Medical Research Council/United Kingdom', 'MR/J01107X/1/Medical Research Council/United Kingdom']"
Fever in a Traveler Returning From Africa.,"['Herc, Erica S', 'Manthei, David', 'Riddell, James 4th']","Herc, Erica S",Henry Ford Health System Division of Infectious Diseases,"Riddell, James 4th",,,,,JAMA,2017 Apr 4,
How to Survive a Plague: The Next Great HIV/AIDS History.,"['Volberding, Paul A']","Volberding, Paul A","University of California, San Francisco","Volberding, Paul A","University of California, San Francisco",,61,,JAMA,2017 Apr 4,
"Medical Marijuana Is Legal in Most States, but Physicians Have Little Evidence to Guide Them.","['Rubin, Rita']","Rubin, Rita",Independent journalist,"Rubin, Rita",Independent journalist,,5,,JAMA,2017 Apr 25,
Replacing the Affordable Care Act: Lessons From Behavioral Economics.,"['Skinner, Jonathan S', 'Volpp, Kevin G']","Skinner, Jonathan S",Dartmouth College,"Volpp, Kevin G",University of Pennsylvania,,39,,JAMA,2017 May 16,"['P01 AG019783/AG/NIA NIH HHS/United States', 'P30 AG034546/AG/NIA NIH HHS/United States']"
FDA Approval of Desmopressin for Nocturia.,"['Fralick, Michael', 'Kesselheim, Aaron S']","Fralick, Michael",University of Toronto,"Kesselheim, Aaron S",Brigham and Women's Hospital,,37,,JAMA,2017 May 23,
What We Are.,"['Halberstadt, Carol Snyder']","Halberstadt, Carol Snyder",,"Halberstadt, Carol Snyder",,,0,,JAMA,2017 Mar 28,
"Trends in Thyroid Cancer Incidence and Mortality in the United States, 1974-2013.","['Lim, Hyeyeun', 'Devesa, Susan S', 'Sosa, Julie A', 'Check, David', 'Kitahara, Cari M']","Lim, Hyeyeun",National Cancer Institute,"Kitahara, Cari M",National Cancer Institute,,23,"Importance: Thyroid cancer incidence has increased substantially in the United States over the last 4 decades, driven largely by increases in papillary thyroid cancer. It is unclear whether the increasing incidence of papillary thyroid cancer has been related to thyroid cancer mortality trends. Objective: To compare trends in thyroid cancer incidence and mortality by tumor characteristics at diagnosis. Design, Setting, and Participants: Trends in thyroid cancer incidence and incidence-based mortality rates were evaluated using data from the Surveillance, Epidemiology, and End Results-9 (SEER-9) cancer registry program, and annual percent change in rates was calculated using log-linear regression. Exposure: Tumor characteristics. Main Outcomes and Measures: Annual percent changes in age-adjusted thyroid cancer incidence and incidence-based mortality rates by histologic type and SEER stage for cases diagnosed during 1974-2013. Results: Among 77276 patients (mean [SD] age at diagnosis, 48 [16] years; 58213 [75%] women) diagnosed with thyroid cancer from 1974-2013, papillary thyroid cancer was the most common histologic type (64625 cases), and 2371 deaths from thyroid cancer occurred during 1994-2013. Thyroid cancer incidence increased, on average, 3.6% per year (95% CI, 3.2%-3.9%) during 1974-2013 (from 4.56 per 100000 person-years in 1974-1977 to 14.42 per 100000 person-years in 2010-2013), primarily related to increases in papillary thyroid cancer (annual percent change, 4.4% [95% CI, 4.0%-4.7%]). Papillary thyroid cancer incidence increased for all SEER stages at diagnosis (4.6% per year for localized, 4.3% per year for regional, 2.4% per year for distant, 1.8% per year for unknown). During 1994-2013, incidence-based mortality increased 1.1% per year (95% CI, 0.6%-1.6%) (from 0.40 per 100000 person-years in 1994-1997 to 0.46 per 100000 person-years in 2010-2013) overall and 2.9% per year (95% CI, 1.1%-4.7%) for SEER distant stage papillary thyroid cancer. Conclusions and Relevance: Among patients in the United States diagnosed with thyroid cancer from 1974-2013, the overall incidence of thyroid cancer increased 3% annually, with increases in the incidence rate and thyroid cancer mortality rate for advanced-stage papillary thyroid cancer. These findings are consistent with a true increase in the occurrence of thyroid cancer in the United States.",JAMA,2017 Apr 4,
Policing and Public Health-Strategies for Collaboration.,"['Shepherd, Jonathan P', 'Sumner, Steven A']","Shepherd, Jonathan P",Cardiff University,"Sumner, Steven A",National Center for Injury Prevention and Control,,6,,JAMA,2017 Apr 18,['CC999999/Intramural CDC HHS/United States']
Sedimentation Rate.,"['Wicks, Ian']","Wicks, Ian",Royal Melbourne Hospital,"Wicks, Ian",Royal Melbourne Hospital,,41,,JAMA,2017 Mar 21,
"US Public Opinion on Health Care Reform, 2017.","['Kirzinger, Ashley', 'Hamel, Liz', 'Clark, Carene', 'Rousseau, David']","Kirzinger, Ashley",Kaiser Family Foundation,"Rousseau, David",Laboratoire de l'Accelerateur Lineaire,,83,,JAMA,2017 Apr 18,
"Less Noise, Better Health.",,,,,,,,,JAMA,2017 Mar 28,
Decline in Postpartum Depression.,,,,,,,,,JAMA,2017 Mar 28,
Screening for Celiac Disease: US Preventive Services Task Force Recommendation Statement.,"['Bibbins-Domingo, Kirsten', 'Grossman, David C', 'Curry, Susan J', 'Barry, Michael J', 'Davidson, Karina W', 'Doubeni, Chyke A', 'Ebell, Mark', 'Epling, John W Jr', 'Herzstein, Jessica', 'Kemper, Alex R', 'Krist, Alex H', 'Kurth, Ann E', 'Landefeld, C Seth', 'Mangione, Carol M', 'Phipps, Maureen G', 'Silverstein, Michael', 'Simon, Melissa A', 'Tseng, Chien-Wen']","Bibbins-Domingo, Kirsten","University of California, San Francisco","Tseng, Chien-Wen",University of Hawaii at Manoa,,17,"Importance: Celiac disease is caused by an immune response in persons who are genetically susceptible to dietary gluten, a protein complex found in wheat, rye, and barley. Ingestion of gluten by persons with celiac disease causes immune-mediated inflammatory damage to the small intestine. Objective: To issue a new US Preventive Services Task Force (USPSTF) recommendation on screening for celiac disease. Evidence Review: The USPSTF reviewed the evidence on the accuracy of screening in asymptomatic adults, adolescents, and children; the potential benefits and harms of screening vs not screening and targeted vs universal screening; and the benefits and harms of treatment of screen-detected celiac disease. The USPSTF also reviewed contextual information on the prevalence of celiac disease among patients without obvious symptoms and the natural history of subclinical celiac disease. Findings: The USPSTF found inadequate evidence on the accuracy of screening for celiac disease, the potential benefits and harms of screening vs not screening or targeted vs universal screening, and the potential benefits and harms of treatment of screen-detected celiac disease. Conclusions and Recommendation: The USPSTF concludes that the current evidence is insufficient to assess the balance of benefits and harms of screening for celiac disease in asymptomatic persons. (I statement).",JAMA,2017 Mar 28,
Screening for Celiac Disease: Evidence Report and Systematic Review for the US Preventive Services Task Force.,"['Chou, Roger', 'Bougatsos, Christina', 'Blazina, Ian', 'Mackey, Katherine', 'Grusing, Sara', 'Selph, Shelley']","Chou, Roger",Oregon Health and Science University,"Selph, Shelley",Oregon Health and Science University,,11,"Importance: Silent or subclinical celiac disease may result in potentially avoidable adverse health consequences. Objective: To review the evidence on benefits and harms of screening for celiac disease in asymptomatic adults, adolescents, and children 3 years and older for the US Preventive Services Task Force. Data Sources: Ovid MEDLINE, Cochrane Central Register of Controlled Trials, and Cochrane Database of Systematic Reviews, searched to June 14, 2016. Study Selection: Randomized clinical trials and cohort or case-control studies on clinical benefits and harms of screening vs no screening for celiac disease or treatment vs no treatment for screen-detected celiac disease; studies on diagnostic accuracy of serologic tests for celiac disease. Data Extraction and Synthesis: One investigator abstracted data, a second checked data for accuracy, and 2 investigators independently assessed study quality using predefined criteria. Main Outcomes and Measures: Cancer incidence, gastrointestinal outcomes, psychological outcomes, child growth outcomes, health outcomes resulting from nutritional deficiencies, quality of life, mortality, and harms of screening. No meta-analytic pooling was done. Results: One systematic review and 3 primary studies met inclusion criteria. No trials of screening for celiac disease were identified. One recent, good-quality systematic review of 56 original studies and 12 previous systematic reviews (sample sizes of primary studies ranging from 62 to more than 12000 participants) found IgA tissue transglutaminase was associated with high accuracy (sensitivity and specificity both >90%) for diagnosing celiac disease. IgA endomysial antibodies tests were associated with high specificity. Only 2 studies of serologic tests for celiac disease involving 62 and 158 patients were conducted in asymptomatic populations and reported lower sensitivity (57% and 71%). One fair-quality, small (n = 40) Finnish treatment trial of asymptomatic adults with screen-detected celiac disease based on positive serologic findings found initiation of a gluten-free diet associated with small improvement in gastrointestinal symptoms compared with no gluten-free diet (difference less than 1 point on a scale of 1 to 7) at 1 year, with no differences on most measures of quality of life. No withdrawals due to adverse events occurred during the trial; no other harms were reported. No studies were identified that addressed the other outcomes. Conclusions and Relevance: Although some evidence was found regarding diagnostic accuracy of tests for celiac disease, little or no evidence was identified to inform most of the key questions related to benefits and harms of screening for celiac disease in asymptomatic individuals. More research is needed to understand the effectiveness of screening and treatment for celiac disease, accuracy of screening tests in asymptomatic persons, and optimal screening strategies.",JAMA,2017 Mar 28,
The Lisboa Cafe.,"['Taran, Shaurya']","Taran, Shaurya",University of Toronto,"Taran, Shaurya",University of Toronto,,0,,JAMA,2017 Mar 28,
Retained Lumbar Catheter Tip.,"['DeLancey, John O', 'Barnard, Cynthia', 'Bilimoria, Karl Y']","DeLancey, John O",American Urogynecologic Society,"Bilimoria, Karl Y",Northwestern University Feinberg School of Medicine,,56,,JAMA,2017 Mar 28,
Screening for Celiac Disease.,"['Jin, Jill']","Jin, Jill",Northwestern University Feinberg School of Medicine,"Jin, Jill",Northwestern University Feinberg School of Medicine,,4,,JAMA,2017 Mar 28,
Effect of Vitamin D and Calcium Supplementation on Cancer Incidence in Older Women: A Randomized Clinical Trial.,"['Lappe, Joan', 'Watson, Patrice', 'Travers-Gustafson, Dianne', 'Recker, Robert', 'Garland, Cedric', 'Gorham, Edward', 'Baggerly, Keith', 'McDonnell, Sharon L']","Lappe, Joan",Creighton University,"McDonnell, Sharon L",GrassrootsHealth,,6,"Importance: Evidence suggests that low vitamin D status may increase the risk of cancer. Objective: To determine if dietary supplementation with vitamin D3 and calcium reduces the risk of cancer among older women. Design, Setting, and Participants: A 4-year, double-blind, placebo-controlled, population-based randomized clinical trial in 31 rural counties (June 24, 2009, to August 26, 2015-the final date of follow-up). A total of 2303 healthy postmenopausal women 55 years or older were randomized, 1156 to the treatment group and 1147 to the placebo group. Duration of treatment was 4 years. Interventions: The treatment group (vitamin D3 + calcium group) received 2000 IU/d of vitamin D3 and 1500 mg/d of calcium; the placebo group received identical placebos. Main Outcomes and Measures: The primary outcome was the incidence of all-type cancer (excluding nonmelanoma skin cancers), which was evaluated using Kaplan-Meier survival analysis and proportional hazards modeling. Results: Among 2303 randomized women (mean age, 65.2 years [SD, 7.0]; mean baseline serum 25-hydroxyvitamin D level, 32.8 ng/mL [SD, 10.5]), 2064 (90%) completed the study. At year 1, serum 25-hydroxyvitamin D levels were 43.9 ng/mL in the vitamin D3 + calcium group and 31.6 ng/mL in the placebo group. A new diagnosis of cancer was confirmed in 109 participants, 45 (3.89%) in the vitamin D3 + calcium group and 64 (5.58%) in the placebo group (difference, 1.69% [95% CI, -0.06% to 3.46%]; P = .06). Kaplan-Meier incidence over 4 years was 0.042 (95% CI, 0.032 to 0.056) in the vitamin D3 + calcium group and 0.060 (95% CI, 0.048 to 0.076) in the placebo group; P = .06. In unadjusted Cox proportional hazards regression, the hazard ratio was 0.70 (95% CI, 0.47 to 1.02). Adverse events potentially related to the study included renal calculi (16 participants in the vitamin D3 + calcium group and 10 in the placebo group), and elevated serum calcium levels (6 in the vitamin D3 + calcium group and 2 in the placebo group). Conclusions and Relevance: Among healthy postmenopausal older women with a mean baseline serum 25-hydroxyvitamin D level of 32.8 ng/mL, supplementation with vitamin D3 and calcium compared with placebo did not result in a significantly lower risk of all-type cancer at 4 years. Further research is necessary to assess the possible role of vitamin D in cancer prevention. Trial Registration: clinicaltrials.gov Identifier: NCT01052051.",JAMA,2017 Mar 28,
Effect of Total Laparoscopic Hysterectomy vs Total Abdominal Hysterectomy on Disease-Free Survival Among Women With Stage I Endometrial Cancer: A Randomized Clinical Trial.,"['Janda, Monika', 'Gebski, Val', 'Davies, Lucy C', 'Forder, Peta', 'Brand, Alison', 'Hogg, Russell', 'Jobling, Thomas W', 'Land, Russell', 'Manolitsas, Tom', 'Nascimento, Marcelo', 'Neesham, Deborah', 'Nicklin, James L', 'Oehler, Martin K', 'Otton, Geoff', 'Perrin, Lewis', 'Salfinger, Stuart', 'Hammond, Ian', 'Leung, Yee', 'Sykes, Peter', 'Ngan, Hextan', 'Garrett, Andrea', 'Laney, Michael', 'Ng, Tong Yow', 'Tam, Karfai', 'Chan, Karen', 'Wrede, C David', 'Pather, Selvan', 'Simcock, Bryony', 'Farrell, Rhonda', 'Robertson, Gregory', 'Walker, Graeme', 'Armfield, Nigel R', 'Graves, Nick', 'McCartney, Anthony J', 'Obermair, Andreas']","Janda, Monika",University of Queensland,"Obermair, Andreas",University of Queensland,,47,"Importance: Standard treatment for endometrial cancer involves removal of the uterus, tubes, ovaries, and lymph nodes. Few randomized trials have compared disease-free survival outcomes for surgical approaches. Objective: To investigate whether total laparoscopic hysterectomy (TLH) is equivalent to total abdominal hysterectomy (TAH) in women with treatment-naive endometrial cancer. Design, Setting, and Participants: The Laparoscopic Approach to Cancer of the Endometrium (LACE) trial was a multinational, randomized equivalence trial conducted between October 7, 2005, and June 30, 2010, in which 27 surgeons from 20 tertiary gynecological cancer centers in Australia, New Zealand, and Hong Kong randomized 760 women with stage I endometrioid endometrial cancer to either TLH or TAH. Follow-up ended on March 3, 2016. Interventions: Patients were randomly assigned to undergo TAH (n = 353) or TLH (n = 407). Main Outcomes and Measures: The primary outcome was disease-free survival, which was measured as the interval between surgery and the date of first recurrence, including disease progression or the development of a new primary cancer or death assessed at 4.5 years after randomization. The prespecified equivalence margin was 7% or less. Secondary outcomes included recurrence of endometrial cancer and overall survival. Results: Patients were followed up for a median of 4.5 years. Of 760 patients who were randomized (mean age, 63 years), 679 (89%) completed the trial. At 4.5 years of follow-up, disease-free survival was 81.3% in the TAH group and 81.6% in the TLH group. The disease-free survival rate difference was 0.3% (favoring TLH; 95% CI, -5.5% to 6.1%; P = .007), meeting criteria for equivalence. There was no statistically significant between-group difference in recurrence of endometrial cancer (28/353 in TAH group [7.9%] vs 33/407 in TLH group [8.1%]; risk difference, 0.2% [95% CI, -3.7% to 4.0%]; P = .93) or in overall survival (24/353 in TAH group [6.8%] vs 30/407 in TLH group [7.4%]; risk difference, 0.6% [95% CI, -3.0% to 4.2%]; P = .76). Conclusions and Relevance: Among women with stage I endometrial cancer, the use of total abdominal hysterectomy compared with total laparoscopic hysterectomy resulted in equivalent disease-free survival at 4.5 years and no difference in overall survival. These findings support the use of laparoscopic hysterectomy for women with stage I endometrial cancer. Trial Registration: clinicaltrials.gov Identifier: NCT00096408; Australian New Zealand Clinical Trials Registry: CTRN12606000261516.",JAMA,2017 Mar 28,
Association of Childhood Blood Lead Levels With Cognitive Function and Socioeconomic Status at Age 38 Years and With IQ Change and Socioeconomic Mobility Between Childhood and Adulthood.,"['Reuben, Aaron', 'Caspi, Avshalom', 'Belsky, Daniel W', 'Broadbent, Jonathan', 'Harrington, Honalee', 'Sugden, Karen', 'Houts, Renate M', 'Ramrakha, Sandhya', 'Poulton, Richie', 'Moffitt, Terrie E']","Reuben, Aaron",Duke University,"Moffitt, Terrie E",Duke University,,126,"Importance: Many children in the United States and around the world are exposed to lead, a developmental neurotoxin. The long-term cognitive and socioeconomic consequences of lead exposure are uncertain. Objective: To test the hypothesis that childhood lead exposure is associated with cognitive function and socioeconomic status in adulthood and with changes in IQ and socioeconomic mobility between childhood and midlife. Design, Setting, and Participants: A prospective cohort study based on a population-representative 1972-1973 birth cohort from New Zealand; the Dunedin Multidisciplinary Health and Development Study observed participants to age 38 years (until December 2012). Exposures: Childhood lead exposure ascertained as blood lead levels measured at age 11 years. High blood lead levels were observed among children from all socioeconomic status levels in this cohort. Main Outcomes and Measures: The IQ (primary outcome) and indexes of Verbal Comprehension, Perceptual Reasoning, Working Memory, and Processing Speed (secondary outcomes) were assessed at age 38 years using the Wechsler Adult Intelligence Scale-IV (WAIS-IV; IQ range, 40-160). Socioeconomic status (primary outcome) was assessed at age 38 years using the New Zealand Socioeconomic Index-2006 (NZSEI-06; range, 10 [lowest]-90 [highest]). Results: Of 1037 original participants, 1007 were alive at age 38 years, of whom 565 (56%) had been lead tested at age 11 years (54% male; 93% white). Mean (SD) blood lead level at age 11 years was 10.99 (4.63) microg/dL. Among blood-tested participants included at age 38 years, mean WAIS-IV score was 101.16 (14.82) and mean NZSEI-06 score was 49.75 (17.12). After adjusting for maternal IQ, childhood IQ, and childhood socioeconomic status, each 5-microg/dL higher level of blood lead in childhood was associated with a 1.61-point lower score (95% CI, -2.48 to -0.74) in adult IQ, a 2.07-point lower score (95% CI, -3.14 to -1.01) in perceptual reasoning, and a 1.26-point lower score (95% CI, -2.38 to -0.14) in working memory. Associations of childhood blood lead level with deficits in verbal comprehension and processing speed were not statistically significant. After adjusting for confounders, each 5-microg/dL higher level of blood lead in childhood was associated with a 1.79-unit lower score (95% CI, -3.17 to -0.40) in socioeconomic status. An association between greater blood lead levels and a decline in IQ and socioeconomic status from childhood to adulthood was observed with 40% of the association with downward mobility mediated by cognitive decline from childhood. Conclusions and Relevance: In this cohort born in New Zealand in 1972-1973, childhood lead exposure was associated with lower cognitive function and socioeconomic status at age 38 years and with declines in IQ and with downward social mobility. Childhood lead exposure may have long-term ramifications.",JAMA,2017 Mar 28,"['R01 AG049789/AG/NIA NIH HHS/United States', 'Medical Research Council/United Kingdom', 'P30 AG034424/AG/NIA NIH HHS/United States', 'R01 AG048895/AG/NIA NIH HHS/United States', 'R01 AG032282/AG/NIA NIH HHS/United States']"
Bezlotoxumab Protects Against Recurrent C difficile Infections.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Mar 28,
Avoiding Unnecessary Prostate Biopsies With MRI.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Mar 28,
Waiting to Clamp Cords Reduces Anemia in High-Risk Infants.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Mar 28,
Priorities for Public Health Spending-Reply.,"['Emanuel, Ezekiel J']","Emanuel, Ezekiel J",University of Pennsylvania,"Emanuel, Ezekiel J",University of Pennsylvania,,74,,JAMA,2017 Mar 28,
Assessing Performance of Internal Medicine Residents-Reply.,"['Hauer, Karen E', 'Holmboe, Eric S', 'McDonald, Furman S']","Hauer, Karen E",UCSF School of Medicine,"McDonald, Furman S",American Board of Internal Medicine,,21,,JAMA,2017 Mar 28,
Inpatient Palliative Care After Hematopoietic Stem Cell Transplantation-Reply.,"['El-Jawahri, Areej', 'Temel, Jennifer S']","El-Jawahri, Areej",Massachusetts General Hospital and Harvard Medical School,"Temel, Jennifer S",Massachusetts General Hospital and Harvard Medical School,,41,,JAMA,2017 Mar 28,
Priorities for Public Health Spending.,"['Cahill, Sean', 'Mayer, Kenneth', 'Boswell, Stephen']","Cahill, Sean",Albert Einstein College of Medicine of Yeshiva University,"Boswell, Stephen",Fenway Health,,23,,JAMA,2017 Mar 28,
Assessing Performance of Internal Medicine Residents.,"['Monach, Paul A']","Monach, Paul A",VA Medical Center,"Monach, Paul A",VA Medical Center,,36,,JAMA,2017 Mar 28,
Inpatient Palliative Care After Hematopoietic Stem Cell Transplantation.,"['Chhabra, Srishti', 'Lai, Zhuangming Marc']","Chhabra, Srishti",Imperial College London,"Lai, Zhuangming Marc",Imperial College London,,0,,JAMA,2017 Mar 28,
In Vitro Fertilization Insurance Coverage and Chances of a Live Birth.,"['Jungheim, Emily S', 'Leung, Man Yee Mallory', 'Macones, George A', 'Odem, Randall R', 'Pollack, Lisa M', 'Hamilton, Barton H']","Jungheim, Emily S",Washington University School of Medicine in St. Louis,"Hamilton, Barton H",Washington University in St. Louis,,25,,JAMA,2017 Mar 28,['K12 HD063086/HD/NICHD NIH HHS/United States']
"Contribution of Assisted Reproductive Technology to Overall Births by Maternal Age in the United States, 2012-2014.","['Levine, Aaron D', 'Boulet, Sheree L', 'Kissin, Dmitry M']","Levine, Aaron D",Georgia Institute of Technology,"Kissin, Dmitry M",Emory University School of Medicine,,25,,JAMA,2017 Mar 28,
Notification of Infectious Diseases.,,,,,,,,,JAMA,2017 Mar 28,
Professionalism in Health Care Organizations.,"['Mason, Diana J']","Mason, Diana J",George Washington University,"Mason, Diana J",George Washington University,,10,,JAMA,2017 Mar 28,
Conditional Greenlight for Future Trials of Heritable Genome Editing.,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Mar 28,
Increases in Premature Mortality.,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Mar 28,
"Introduce Peanut-Containing Foods Early, NIH Panel Advises.","['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Mar 28,
"Vitamin D, Calcium, and Cancer: Approaching Daylight?","['Manson, JoAnn E', 'Bassuk, Shari S', 'Buring, Julie E']","Manson, JoAnn E",Brigham and Women's Hospital,"Buring, Julie E",Harvard School of Public Health,,146,,JAMA,2017 Mar 28,['R01 CA138962/CA/NCI NIH HHS/United States']
Laparoscopic Hysterectomy for Endometrial Cancer: A Procedure 25 Years in the Making.,"['Wright, Jason D']","Wright, Jason D","Columbia University, College of Physicians and Surgeons","Wright, Jason D","Columbia University, College of Physicians and Surgeons",,42,,JAMA,2017 Mar 28,
Childhood Lead Exposure and Adult Outcomes.,"['Bellinger, David C']","Bellinger, David C",Harvard School of Public Health,"Bellinger, David C",Harvard School of Public Health,,76,,JAMA,2017 Mar 28,
The US Preventive Services Task Force Recommendation on Screening for Asymptomatic Celiac Disease: A Dearth of Evidence.,"['Choung, Rok Seon', 'Murray, Joseph A']","Choung, Rok Seon",Mayo Clinic,"Murray, Joseph A",University of Chicago,,68,,JAMA,2017 Mar 28,
Incorrect Value in Figure.,,,,,,,,,JAMA,2017 Mar 28,
The Female Beautiful Face.,"['Pastorek, Norman J']","Pastorek, Norman J",Facial Plastic Surgeon,"Pastorek, Norman J",Facial Plastic Surgeon,,6,,JAMA,2017 Mar 28,
"Genomics, Health Disparities, and Missed Opportunities for the Nation's Research Agenda.","['West, Kathleen McGlone', 'Blacksher, Erika', 'Burke, Wylie']","West, Kathleen McGlone",,"Burke, Wylie",University of Washington School of Medicine,,56,,JAMA,2017 May 9,['P50 HG003374/HG/NHGRI NIH HHS/United States']
Presidential Immigration Policies: Endangering Health and Well-being?,"['Gostin, Lawrence O', 'O Cathaoir, Katharina Eva']","Gostin, Lawrence O",Georgetown University,"O Cathaoir, Katharina Eva",,,,,JAMA,2017 Apr 25,
The Rise of Crowdfunding for Medical Care: Promises and Perils.,"['Young, Michael J', 'Scheinberg, Ethan']","Young, Michael J",Schepens Eye Research Institute,"Scheinberg, Ethan",Harvard Law School,,2,,JAMA,2017 Apr 25,
Medical Community Gathers Steam to Tackle Climate's Health Effects.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Apr 18,
Cervicovaginal Bacteria May Influence HIV Risk.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Mar 21,
Boosting Cognitive Development in Children.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Mar 21,
Zero Cases of Guinea Worm Disease in Mali.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Mar 21,
Exercise During Pregnancy.,"['Perales, Maria', 'Artal, Raul', 'Lucia, Alejandro']","Perales, Maria",Universidad Camilo Jose Cela,"Lucia, Alejandro",Universidad Europea de Madrid,,52,,JAMA,2017 Mar 21,
Medical Care of Detainees in US Military Facilities: Unspeakable Kindness.,"['Chalela, Julio A']","Chalela, Julio A",Medical University of South Carolina,"Chalela, Julio A",Medical University of South Carolina,,30,,JAMA,2017 Mar 21,
Cystoscopy.,"['Matulewicz, Richard S', 'DeLancey, John O', 'Meeks, Joshua J']","Matulewicz, Richard S",Northwestern University Feinberg School of Medicine,"Meeks, Joshua J",Northwestern University Feinberg School of Medicine,,28,,JAMA,2017 Mar 21,
